Dados Acustico - Tempo X Frequência e Tempo X Amplitude UHE Tucurui:UGH-05:Trafo Acústico 1:Acústico 1 P1 UGH-05 - T FE (ppm)

Tempo (s);Frequencia (Hz);Amplitude (dBae)
0,550588;21,6979402237027;35,717031071229
0,556149;17,8041543026706;39,9857391314819
0,558846;12,1443442054129;37,45317728678
0,561351;10,1328529610448;33,6242996985988
0,564469;12,0481927710843;33,1489259082862
0,567246;11,6158219722443;36,088660887305
0,572804;18,6258278145695;38,3688964874946
0,57509;12,5815837068491;38,6567660502478
0,581128;7,94833581718828;35,717031071229
0,583948;8,58369098712446;35,717031071229
0,587051;17,0454545454545;43,8767366294562
0,589463;12,4018189334436;35,717031071229
0,592225;22,3033817502579;37,45317728678
0,597784;19,7044334975369;36,4472483356988
0,60015;11,5673799884326;34,9305897656537
0,606121;27,9684719043987;38,0726817273059
0,608316;24,0715268225585;37,1287470635886
0,611666;11,0172603745869;39,9857391314819
0,614442;9,82897582071948;35,717031071229
0,616751;14,6478873239437;38,9367477749468
0,620369;8,97021887334051;43,7049898355386
0,622775;8,62281350086228;40,7073584201043
0,625539;15,7299292153185;39,2092624231778
0,6311;13,7931034482759;38,3688964874946
0,633882;7,68787238131847;36,088660887305
0,639437;22,2581950627276;40,4724355752431
0,641784;12,5473864061082;35,3313742197426
0,647376;7,83348254252462;33,6242996985988
0,650535;21,6503018844911;34,5134423077612
0,656096;10,2333196889071;36,4472483356988
0,658412;16,3636771199928;33,1489259082862
0,664798;55,379746835443;43,1717196088105
0,66719;23,1446234430673;33,6242996985988
0,672749;22,1595487510073;38,9367477749468
0,675086;20,7248379211393;38,9367477749468
0,68107;7,81402617698769;36,7936779079507
0,68349;25,3768071362658;36,4472483356988
0,686634;10,7874865156419;40,2319846297916
0,689404;19,4899732306392;37,45317728678
0,695482;97,4025974025974;37,1287470635886
0,69773;11,7716303708064;33,6242996985988
0,70009;21,4822771213749;35,3313742197426
0,703292;32,316703696223;37,45317728678
0,706063;18,1891673403395;39,4746979622293
0,70836;16,9366395969948;37,7676234410855
0,714334;5,94309486665181;36,4472483356988
0,717549;28,7710645293876;41,5965010292666
0,719951;22,2356984030726;36,088660887305
0,722721;14,2103126268778;37,7676234410855
0,72548;19,3610842207164;35,3313742197426
0,727827;5,25486074619023;34,9305897656537
0,731427;45,8365164247517;43,7049898355386
0,733487;16,2043394671793;33,1489259082862
0,739375;24,1303036396541;35,717031071229
0,7418;10,3448275862069;33,1489259082862
0,744544;11,6796846485145;34,0785386443726
0,747714;11,9952019192323;34,0785386443726
0,750474;9,59508731529457;35,3313742197426
0,753262;22,9051345676656;35,717031071229
0,756037;18,2592818015825;39,9857391314819
0,758794;15,2730049637266;37,1287470635886
0,761119;20,9627910458935;37,1287470635886
0,764742;32,258064516129;43,5303070572043
0,766789;19,0581272882291;34,5134423077612
0,772691;18,0686609114636;37,1287470635886
0,775387;34,4704623796505;37,1287470635886
0,778244;20,3214483650471;36,088660887305
0,781017;15,6188988676298;34,9305897656537
0,783365;52,5520120941617;41,381362689505
0,786581;23,130300693909;37,7676234410855
0,789348;24,0384615384615;37,45317728678
0,791728;12,3487280810077;34,0785386443726
0,795309;57,0613409415121;43,8767366294562
0,797673;7,77151738877016;37,1287470635886
0,800009;13,4078212290503;37,45317728678
0,803608;16,6251039068994;42,9875940202938
0,806009;22,2672064777328;37,1287470635886
0,808313;14,3311272082964;40,9370016504374
0,814333;13,64522417154;34,9305897656537
0,81711;22,9343955579697;35,717031071229
0,822667;19,7005516154452;37,1287470635886
0,82543;11,6799688534164;37,1287470635886
0,827775;11,0987791342952;33,6242996985988
0,83083;16,3836759011022;35,3313742197426
0,833349;7,08183950781215;34,0785386443726
0,839325;24,2424242424242;39,2092624231778
0,841991;25,3201396973225;35,717031071229
0,847648;11,6414435389988;34,5134423077612
0,850427;15,85414189457;38,6567660502478
0,855984;14,070351758794;38,3688964874946
0,858298;18,3167839583534;39,7334128869696
0,861537;21,2502213564725;38,3688964874946
0,864308;15,5642023346304;35,717031071229
0,866623;23,3194768326067;37,45317728678
0,869443;14,7944626439818;33,1489259082862
0,872642;24,0722166499499;38,6567660502478
0,874942;28,6953194745568;42,4144329412481
0,878596;84,6859562455893;44,8506821625909
0,880969;15,506881178523;34,5134423077612
0,883286;12,2227252150294;36,4472483356988
0,889438;14,5454545454545;38,0726817273059
0,89573;59,5238095238095;36,7936779079507
0,897624;11,6936269732996;36,088660887305
0,900402;20,2199263219123;36,088660887305
0,906093;16,7270699749094;38,6567660502478
0,908724;23,0601060165913;36,088660887305
0,914284;15,8604282315623;34,9305897656537
0,916949;15,9447944167081;34,0785386443726
0,922752;19,657399606852;38,0726817273059
0,925384;29,0349616858238;36,7936779079507
0,930942;17,819536692046;34,9305897656537
0,933362;10,3615012664057;33,1489259082862
0,936147;5,21546385031619;33,1489259082862
0,939641;24,4299674267101;45,7398247717532
0,942043;19,485580670304;38,0726817273059
0,944405;5,9388834899039;37,1287470635886
0,949916;13,3166431405971;39,7334128869696
0,955942;17,4216027874564;39,2092624231778
0,958259;22,7982774634805;43,8767366294562
0,964196;17,3973556019485;35,3313742197426
0,966574;36,8550368550369;38,0726817273059
0,969835;18,3411453026289;34,5134423077612
0,972607;22,5594749794914;38,6567660502478
0,974932;14,7824862734056;36,4472483356988
0,978157;30,1318267419962;37,7676234410855
0,980932;17,4452413258383;34,0785386443726
0,983248;35,1758793969849;42,2160054697925
0,986492;22,4169553698798;37,1287470635886
0,989399;26,071842410197;37,1287470635886
0,991643;30,4460344040189;39,4746979622293
0,994816;11,4854517611026;36,088660887305
0,997587;15,9489633173844;34,5134423077612
1,000366;26,9343780607248;35,717031071229
1,005922;12,4973963757551;38,0726817273059
1,008682;16,2694706396312;38,9367477749468
1,014243;18,0108064838903;35,717031071229
1,01664;15,2487764086672;34,0785386443726
1,022576;23,6406619385343;37,1287470635886
1,025339;17,8855325914149;38,3688964874946
1,027942;23,3998623537509;36,088660887305
1,030899;13,9165009940358;36,088660887305
1,033247;30,2702702702703;33,1489259082862
1,039234;22,5779967159278;36,088660887305
1,041754;9,21993741618239;33,6242996985988
1,047559;8,19821461104026;34,0785386443726
1,050611;21,1085169667701;43,1717196088105
1,056031;20,2839756592292;37,45317728678
1,05824;21,4331228639286;33,6242996985988
1,061836;40,8997955010225;42,9875940202938
1,064218;13,9470013947001;36,088660887305
1,066825;20,7900207900208;39,4746979622293
1,069781;16,2634681845904;38,3688964874946
1,072686;22,4089635854342;39,9857391314819
1,074856;20,3067012113998;37,1287470635886
1,078105;14,6546986627587;36,7936779079507
1,080873;10,0160256410256;34,0785386443726
1,083336;13,1153030472151;34,0785386443726
1,089208;22,6991333058192;38,6567660502478
1,091972;23,6682844987716;37,1287470635886
1,097527;15,9045725646123;34,5134423077612
1,100307;13,5332647647919;38,9367477749468
1,105865;26,7654931027383;38,0726817273059
1,108545;16,7307522968094;35,717031071229
1,114188;19,9441563621859;37,1287470635886
1,116963;17,7239946216844;34,0785386443726
1,122526;20,6015657189946;39,2092624231778
1,125141;28,9880029849033;38,3688964874946
1,130847;9,88533017002768;38,3688964874946
1,13343;21,7774551488126;39,7334128869696
1,13641;23,3009708737864;35,3313742197426
1,139183;20,3252032520325;36,4472483356988
1,14194;18,2297440445397;37,1287470635886
1,147881;39,5569620253165;43,1717196088105
1,149808;26,6393442622951;39,9857391314819
1,152652;13,0875777074926;35,3313742197426
1,155391;11,7220801364024;33,6242996985988
1,158151;22,8476477308132;35,3313742197426
1,161387;8,64784730372475;37,1287470635886
1,166953;10,093646610217;34,9305897656537
1,172295;14,4613159797542;33,1489259082862
1,175258;20,1582573637813;37,7676234410855
1,180816;21,4216163583252;37,1287470635886
1,183594;17,6021904948171;36,088660887305
1,185911;12,2718208314159;35,717031071229
1,189155;10,1729399796541;38,0726817273059
1,191509;17,3599055621137;34,5134423077612
1,197858;61,4439324116744;43,7049898355386
1,200247;31,6943635429159;36,7936779079507
1,205809;16,2107396149949;38,3688964874946
1,20813;19,4440065163698;33,6242996985988
1,214131;19,6618167518679;35,717031071229
1,216535;25,1758202665353;33,6242996985988
1,222597;22,2469410456062;37,7676234410855
1,225198;10,7436113882281;41,381362689505
1,228418;21,6919739696312;43,3525861656644
1,230787;11,7901355865592;35,3313742197426
1,233493;21,47230362998;36,088660887305
1,23912;9,99000999000999;36,4472483356988
1,241555;11,2671824532412;33,1489259082862
1,247441;17,4655540461867;35,3313742197426
1,24993;26,9717261904762;37,7676234410855
1,253005;16,0578081091931;35,717031071229
1,255775;18,0396873120866;38,6567660502478
1,258376;7,48103024473656;41,8072032093355
1,264096;6,52794777641779;36,088660887305
1,267179;5,61412263739006;42,8000897927344
1,272433;22,2267124671651;38,0726817273059
1,274729;17,3674588665448;40,2319846297916
1,277983;11,0803324099723;36,4472483356988
1,280559;12,6975169300226;34,5134423077612
1,283226;21,2267603571951;37,45317728678
1,28646;15,5844155844156;34,9305897656537
1,289087;23,6406619385343;39,2092624231778
1,291851;13,5349098523929;38,0726817273059
1,2978;23,60346184107;45,0043496251546
1,300189;9,44465432565168;37,1287470635886
1,302605;8,03028564873236;36,4472483356988
1,305749;14,0646976090014;38,9367477749468
1,308227;23,6768115227149;34,0785386443726
1,314072;15,5369974752379;37,7676234410855
1,316485;17,9902338730403;36,4472483356988
1,319635;15,177385695314;37,45317728678
1,322541;16,4880461665293;37,7676234410855
1,32476;7,72941709533836;34,5134423077612
1,330429;13,4820443681824;33,1489259082862
1,333506;16,4268548656953;37,45317728678
1,339064;17,8147268408551;38,6567660502478
1,341827;20,6939987403653;39,4746979622293
1,347387;17,2711571675302;35,717031071229
1,349775;37,8370941111723;42,4144329412481
1,35309;15,9651669085631;37,7676234410855
1,355726;24,1789240378803;38,6567660502478
1,358317;17,2829160992982;39,4746979622293
1,363588;6,11122428193115;33,1489259082862
1,366404;24,0399432903902;36,4472483356988
1,369982;46,4037122969838;43,7049898355386
1,372382;16,1779575328615;38,0726817273059
1,374677;18,2260024301337;37,1287470635886
1,377934;18,3217295712715;39,7334128869696
1,380702;9,68054211035818;36,4472483356988
1,383446;15,0597873558025;38,0726817273059
1,389036;19,6116885663856;38,0726817273059
1,391799;10,5108261509355;39,2092624231778
1,39703;10,6420716566158;33,1489259082862
1,399978;18,9023155336529;36,4472483356988
1,403292;59,1278640059128;42,6090806110361
1,405691;15,9904057565461;38,9367477749468
1,408076;25,3863134657837;36,7936779079507
1,411772;253,164556962025;38,0726817273059
1,414012;15,2992924077261;35,3313742197426
1,416797;23,1629636402426;34,9305897656537
1,422353;15,9394301653716;39,2092624231778
1,424656;18,3467536438691;36,088660887305
1,427905;12,927054478301;37,1287470635886
1,430676;12,0960774148955;34,9305897656537
1,436243;15,8604282315623;35,717031071229
1,439012;16,1453077699294;38,9367477749468
1,441311;44,9071239028373;39,4746979622293
1,444169;11,7987772176338;34,5134423077612
1,447335;21,4676034348165;36,7936779079507
1,45011;9,44373362578444;35,3313742197426
1,455473;9,85221674876847;33,6242996985988
1,458409;9,97506234413965;38,9367477749468
1,461626;52,199850857569;43,8767366294562
1,463997;17,5746924428822;35,3313742197426
1,46633;10,837171498239;33,6242996985988
1,472337;20,5761316872428;38,0726817273059
1,475099;6,62231720899431;36,7936779079507
1,480661;11,9047619047619;33,6242996985988
1,483021;10,2851030567326;33,1489259082862
1,491758;8,91931634645517;38,0726817273059
1,497814;166,666666666667;40,4724355752431
1,500096;25,3636474758587;34,5134423077612
1,505654;16,5084605860504;38,9367477749468
1,508401;21,8709140615714;36,4472483356988
1,514469;250;40,2319846297916
1,516282;12,0163422254266;39,2092624231778
1,522311;14,4957548146614;38,9367477749468
1,52466;35,1401212334183;36,7936779079507
1,527867;11,5473441108545;38,9367477749468
1,530636;11,9355480405809;34,0785386443726
1,53321;26,1374080882353;33,6242996985988
1,539107;31,1173974540311;39,7334128869696
1,541734;7,24156659223945;37,7676234410855
1,547294;16,0192230676812;33,6242996985988
1,549863;13,5858028360363;33,1489259082862
1,555634;20,631318341242;39,7334128869696
1,557926;19,1372478386167;33,1489259082862
1,564214;21,2314225053079;45,0043496251546
1,566344;35,2697095435685;35,3313742197426
1,569518;26,3745181578413;36,7936779079507
1,572286;7,17245776219318;38,9367477749468
1,575425;6,1122618764644;44,8506821625909
1,580608;12,0578778135048;37,1287470635886
1,583378;19,19795221843;38,0726817273059
1,588946;14,6935348446683;39,7334128869696
1,591708;15,0902396330054;38,3688964874946
1,596889;10,3010186562893;34,5134423077612
1,600042;28,6646239003657;37,45317728678
1,605956;31,8979266347687;45,0043496251546
1,607999;22,3507757033921;38,3688964874946
1,611542;50,761421319797;44,0456445030356
1,613927;12,108980827447;34,9305897656537
1,616267;32,1853878339234;34,9305897656537
1,619492;14,379622021364;39,2092624231778
1,622273;19,2307692307692;38,6567660502478
1,625022;8,06126561870214;37,7676234410855
1,628318;8,80591757661148;40,9370016504374
1,63095;10,8459869848156;43,3525861656644
1,633504;3,55766380077083;36,7936779079507
1,638916;22,9214419670765;37,1287470635886
1,641681;8,68653586940243;36,4472483356988
1,647239;10,078613182826;36,088660887305
1,650019;29,8207710799379;35,717031071229
1,655575;18,848167539267;36,088660887305
1,658339;19,9269345732315;38,3688964874946
1,663898;10,078613182826;34,9305897656537
1,666674;19,1367212417606;38,0726817273059
1,672236;20,6238721319928;36,4472483356988
1,6746;17,0098478066249;33,6242996985988
1,680557;16,1583518481115;35,3313742197426
1,682852;20,2048352260851;35,717031071229
